Rank (PPP),Rank (nominal),Metropolitan area,Country/region,"UNSD
subregion","Visual Capitalist
2021 est. GDP
(million US$)","Visual Capitalist
2021 est. PPP-adjusted GDP
(million US$)",,,,,,,
2,2,Tokyo,Japan,Eastern Asia,"2,055,698","2,205,652",,,,,,,
1,1,New York,United States,Northern America,"2,198,698","1,874,398",,,,,,,
3,3,London,United Kingdom,Northern Europe,"1,942,703","1,564,297",,,,,,,
4,4,Los Angeles,United States,Northern America,"1,133,627","1,133,627",,,,,,,
5,7,Seoul,South Korea,Eastern Asia,"926,790","1,125,042",,,,,,,
6,6,Paris,France,Western Europe,"934,168","1,075,495",,,,,,,
7,10,Shanghai,China,Eastern Asia,"633,935","1,018,815",,,,,,,
8,16,Moscow,Russia,Eastern Europe,"504,808","1,004,849",,,,,,,
9,12,Beijing,China,Eastern Asia,"591,374","950,671",,,,,,,
10,8,Osakaï¿½ï¿½ï,Japan,Eastern Asia,"699,474","897,418",,,,,,,
11,50,Istanbul,Turkey,Western Asia,"247,312","858,706",,,,,,,
12,34,Jakarta,Indonesia,South-eastern Asia,"308,250","841,605",,,,,,,
13,7,Chicago,United States,Northern America,"714,697","714,697",,,,,,,
14,18,Shenzhen,China,Eastern Asia,"455,694","704,486",,,,,,,
15,9,Rhine-Ruhr,Germany,Western Europe,"636,449","698,982",,,,,,,
16,25,Guangzhou,China,Eastern Asia,"405,355","664,854",,,,,,,
17,24,Chongqing,China,Eastern Asia,"407,562","657,985",,,,,,,
18,39,Mumbai,India,Southern Asia,"277,980","606,625",,,,,,,
19,29,Singapore,Singapore,South-eastern Asia,"374,394","600,063",,,,,,,
20,40,Delhi,India,Southern Asia,"272,603","594,884",,,,,,,
21,11,San Francisco,United States,Northern America,"593,629","593,629",,,,,,,
22,23,Taipei,Taiwan,Eastern Asia,"407,838","585,867",,,,,,,
23,43,Sï¿½ï¿½o P,Brazil,South America,"261,642","583,821",,,,,,,
24,13,"Washington, D.C.",United States,Northern America,"578,985","578,985",,,,,,,
25,46,Bangkok,Thailand,South-eastern Asia,"252,128","559,911",,,,,,,
26,47,Mexico City,Mexico,Northern America,"250,455","547,457",,,,,,,
27,35,Suzhou,China,Eastern Asia,"301,510","526,904",,,,,,,
28,14,Dallasï¿½ï¿½ï¿½Fort,United States,Northern America,"523,854","523,854",,,,,,,
29,15,Boston,United States,Northern America,"513,211","513,211",,,,,,,
30,17,Houston,United States,Northern America,"489,377","489,377",,,,,,,
31,44,Chengdu,China,Eastern Asia,"260,409","486,382",,,,,,,
32,20,Toronto,Canada,Northern America,"452,492","475,232",,,,,,,
33,30,Hong Kong,Hong Kong,Eastern Asia,"368,633","472,395",,,,,,,
34,19,Philadelphia,United States,Northern America,"455,653","455,653",,,,,,,
35,,Buenos Aires,Argentina,South America,ýýý,"444,946",,,,,,,
36,21,Seattle,United States,Northern America,"444,337","444,337",,,,,,,
37,22,Atlanta,United States,Northern America,"432,009","432,009",,,,,,,
38,,Wuhan,China,Eastern Asia,ýýý,"409,508",,,,,,,
38,Manchester,United Kingdom,Northern Europe,ýýý,"407,368",,,,,,,,
40,,Dhaka,Bangladesh,Southern Asia,ýýý,"405,872",,,,,,,
41,32,Milan,Italy,Southern Europe,"329,529","405,516",,,,,,,
41,28,Nagoya,Japan,Eastern Asia,"379,301","403,861",,,,,,,
42,49,Hangzhou,China,Eastern Asia,"248,721","396,722",,,,,,,
43,27,Miami,United States,Northern America,"388,725","388,725",,,,,,,
44,37,Madrid,Spain,Southern Europe,"280,937","376,565",,,,,,,
45,52,Tianjin,China,Eastern Asia,"235,664","370,885",,,,,,,
46,,Nanjing,China,Eastern Asia,ýýý,"363,228",,,,,,,
,26,Sydney,Australia,Australia and New Zealand,"398,037",ýýý,,,,,,,
,33,Melbourne,Australia,Australia and New Zealand,"318,677",ýýý,,,,,,,
Birmingham,United Kingdom,Northern Europe,"314,252",,,,,,,,,,
,33,San Diego,United States,Northern America,"290,330",ýýý,,,,,,,
,38,Phoenix,United States,Northern America,"341,841",ýýý,,,,,,,
,41,Minneapolis-St. Paul,United States,Northern America,"342,373",ýýý,,,,,,,
,42,Detroit,United States,Northern America,"357,731",ýýý,,,,,,,
,45,Busanï¿½ï¿½ï¿½Gyeongna,South Korea,Eastern Asia,"252,145",ýýý,,,,,,,
,48,Munich,Germany,Western Europe,"249,764",ýýý,,,,,,,
,51,Berlin,Germany,Western Europe,"243,160",ýýý,,,,,,,
