Metropolitan area,GDP (billion USD),Country,National GDP (billion USD),% of national GDP
Hong Kong,368.14,Hong Kong,369.49,99.635
Singapore,396.99,Singapore,424.43,93.535
San Marino,1.54,San Marino,1.70,90.872
Macau,29.91,Macau,35.25,84.847
Luxembourg City-Trier,69.45,Luxembourg,86.90,79.925
Montevideo,49.70,Uruguay,64.28,77.314
Seoul,926.79,South Korea,1804.68,51.355
Riga,20.00,Latvia,40.27,49.670
Taipei,407.84,Taiwan,841.21,48.482
Bangkok,252.13,Thailand,522.01,48.299
Manila,192.60,Philippines,411.98,46.750
Lisbon,110.00,Portugal,251.92,43.666
Athens,93.70,Greece,222.77,42.061
Tokyo,2055.70,Japan,4912.15,41.849
Dhaka,253.300,Bangladesh,396.54,40.349
Tallinn,15.00,Estonia,37.20,40.320
Tbilisi,8.00,Georgia,20.89,38.298
Yerevan,5.23,Armenia,14.05,37.232
Minsk,22.00,Belarus,59.39,37.041
Abidjan,27.00,Ivory Coast,73.05,36.963
Tel Aviv,188.42,Israel,520.70,36.186
Istanbul,247.31,Turkey,692.38,35.719
Copenhagen,134.40,Denmark,399.10,33.676
Paris,984.235,France,3448.58,28.920
Auckland,79.66,New Zealand,257.21,30.971
Helsinki,90.80,Finland,297.62,30.509
Kabul,6.00,Afghanistan,20.14,29.797
Budapest,58.50,Hungary,197.81,29.573
London,978.40,United Kingdom,3376.00,28.981
Moscow,504.81,Russia,1829.05,27.599
Stockholm,170.00,Sweden,621.24,27.365
Belgrade,17.40,Serbia,65.04,26.754
Sofia,22.40,Bulgaria,89.53,25.019
Abu Dhabi,119.00,United Arab Emirates,501.35,23.736
Jakarta,304.20,Indonesia,1289.30,23.594
Vienna,112.00,Austria,479.82,23.342
Dublin,118.72,Ireland,516.15,23.001
Sydney,398.04,Australia,1748.33,22.767
Bucharest,63.43,Romania,286.51,22.139
Amsterdam-Rotterdam,223.00,Netherlands,1013.60,22.001
Prague,64.00,Czech Republic,296.24,21.604
Toronto,452.49,Canada,2221.22,20.371
Madrid,280.94,Spain,1435.56,19.570
Mexico City,250.46,Mexico,1322.74,18.935
Almaty,36.00,Kazakhstan,193.61,18.594
Johannesburg,76.00,South Africa,426.17,17.833
Lahore,58.14,Pakistan,347.74,16.719
Brussels,99.00,Belgium,609.89,16.233
Milan,329.53,Italy,2058.33,16.010
Ho Chi Minh City,61.70,Vietnam,408.95,15.088
Buenos Aires,84.70,Argentina,564.28,15.010
Rhine-Ruhr,636.45,Germany,4256.54,14.952
Lagos,74.67,Nigeria,510.59,14.624
Kaunas,10.00,Lithuania,69.78,14.330
Warsaw,100.00,Poland,699.56,14.295
São Paulo,261.64,Brazil,1833.27,14.272
Kuala Lumpur,59.83,Malaysia,439.37,13.617
Dar es Salaam,10.40,Tanzania,77.51,13.418
Oslo,71.68,Norway,541.94,13.227
Kyiv,25.70,Ukraine,198.32,12.959
Nairobi,14.80,Kenya,114.68,12.906
Mumbai,277.98,India,3534.74,7.864
New York,1874.40,United States,25346.81,7.395
Shanghai,680.00,China,19911.59,3.415
